Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,Variant,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 3608,Assign seriousness,Value 2,2010/01/13 08:40:25.000,Variant 33,33,Variant 33,Value 1,Value 63,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3
Case 3608,Take in charge ticket,Value 2,2010/01/29 08:52:27.000,Variant 33,33,Variant 33,Value 1,Value 63,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3
Case 3608,Resolve ticket,Value 2,2010/01/29 08:52:34.000,Variant 33,33,Variant 33,Value 1,Value 63,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3
Case 3608,Closed,Value 5,2010/02/13 08:52:48.000,Variant 33,33,Variant 33,Value 1,Value 63,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3
Case 3608,Closed,Value 5,2010/02/13 08:52:48.000,Variant 33,33,Variant 33,Value 1,Value 63,Value 3,Value 5,Value 1,Value 2,Value 1,Value 4,Value 3
Case 2748,Assign seriousness,Value 2,2010/01/13 12:26:04.000,Variant 1,1,Variant 1,Value 1,Value 52,Value 3,Value 7,Value 1,Value 2,Value 1,Value 3,Value 1
Case 2748,Take in charge ticket,Value 2,2010/01/19 09:26:05.000,Variant 1,1,Variant 1,Value 1,Value 52,Value 3,Value 7,Value 1,Value 2,Value 1,Value 3,Value 1
Case 2748,Resolve ticket,Value 2,2010/01/19 09:28:50.000,Variant 1,1,Variant 1,Value 1,Value 52,Value 3,Value 7,Value 1,Value 2,Value 1,Value 3,Value 1
Case 2748,Closed,Value 5,2010/02/13 12:00:28.000,Variant 1,1,Variant 1,Value 1,Value 52,Value 3,Value 7,Value 1,Value 2,Value 1,Value 3,Value 1
Case 4284,Assign seriousness,Value 2,2010/01/13 12:30:37.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
Case 4284,Assign seriousness,Value 2,2010/01/27 13:31:11.000,Variant 219,219,Variant 219,Value 1,Value 9,Value 3,Value 2,Value 2,Value 2,Value 2,Value 3,Value 1
