Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,impact,lifecycle:transition,oranization country,org:group,org:role,organization country,organization involved,product,resource country
1-147898401,Accepted-In Progress,Tomas,2006/11/07 10:00:36.000,Variant 57,57,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-147898401,Accepted-In Progress,Tomas,2006/11/07 13:05:44.000,Variant 57,57,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-147898401,Accepted-Wait,Tomas,2009/12/02 14:24:32.000,Variant 57,57,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-147898401,Accepted-In Progress,Tomas,2011/09/03 07:09:09.000,Variant 57,57,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-165554831,Accepted-In Progress,Tomas,2007/03/20 09:06:25.000,Variant 23,23,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-165554831,Accepted-Wait,Tomas,2009/12/02 14:24:31.000,Variant 23,23,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-165554831,Accepted-In Progress,Tomas,2011/09/03 07:10:53.000,Variant 23,23,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-172473423,Accepted-In Progress,Tomas,2007/05/10 16:21:54.000,Variant 23,23,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-172473423,Accepted-Wait,Tomas,2009/12/02 14:24:33.000,Variant 23,23,Accepted,Low,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-172473423,Accepted-In Progress,Tomas,2011/09/03 07:10:59.000,Variant 23,23,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-182640781,Accepted-In Progress,Niklas,2007/07/25 14:21:05.000,Variant 39,39,Accepted,Medium,In Progress,se,Org line A2,A2_2,,,PROD681,Sweden
1-182640781,Accepted-Wait,Niklas,2009/12/02 14:24:32.000,Variant 39,39,Accepted,Medium,Wait,se,Org line A2,A2_2,,,PROD681,Sweden
1-182640781,Queued-Awaiting Assignment,Niklas,2010/08/25 11:13:01.000,Variant 39,39,Queued,Medium,Awaiting Assignment,se,Org line A2,A2_2,,,PROD681,Sweden
1-182640781,Accepted-In Progress,Niklas,2011/09/05 09:24:13.000,Variant 39,39,Accepted,Medium,In Progress,se,Org line A2,A2_2,,,PROD681,Sweden
1-182640781,Accepted-Assigned,Niklas,2011/11/14 16:10:25.000,Variant 39,39,Accepted,Medium,Assigned,se,Org line A2,A2_2,,,PROD681,Sweden
1-182640781,Accepted-In Progress,Niklas,2012/01/03 11:30:35.000,Variant 39,39,Accepted,Medium,In Progress,se,Org line A2,A2_2,,,PROD681,Sweden
1-182640781,Completed-Closed,Niklas,2012/01/03 11:31:53.000,Variant 39,39,Completed,Medium,Closed,se,Org line A2,A2_2,,,PROD681,Sweden
1-230541365,Accepted-In Progress,Tomas,2008/05/07 18:58:51.000,Variant 58,58,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-230541365,Accepted-In Progress,Tomas,2008/10/06 16:44:37.000,Variant 58,58,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-230541365,Accepted-Wait,Tomas,2009/12/02 14:24:34.000,Variant 58,58,Accepted,High,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-230541365,Accepted-In Progress,Tomas,2011/09/02 00:27:50.000,Variant 58,58,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-230541365,Accepted-In Progress,Tomas,2011/09/02 00:27:55.000,Variant 58,58,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-236817141,Accepted-In Progress,Tomas,2008/06/04 12:02:18.000,Variant 39,39,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD681,Sweden
1-236817141,Accepted-Wait,Tomas,2009/12/02 14:24:34.000,Variant 39,39,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD681,Sweden
1-236817141,Queued-Awaiting Assignment,Tomas,2010/08/25 11:06:45.000,Variant 39,39,Queued,Medium,Awaiting Assignment,cn,Org line A2,A2_2,,,PROD681,Sweden
1-236817141,Accepted-In Progress,Tomas,2011/09/03 08:02:11.000,Variant 39,39,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD681,Sweden
1-236817141,Accepted-Assigned,Niklas,2011/11/14 16:09:27.000,Variant 39,39,Accepted,Medium,Assigned,cn,Org line A2,A2_2,,,PROD681,Sweden
1-236817141,Accepted-In Progress,Tomas,2012/01/05 14:08:18.000,Variant 39,39,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD681,Sweden
1-236817141,Completed-Closed,Tomas,2012/01/05 14:09:00.000,Variant 39,39,Completed,Medium,Closed,cn,Org line A2,A2_2,,,PROD681,Sweden
1-270427461,Accepted-In Progress,Tomas,2008/11/13 11:01:04.000,Variant 23,23,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-270427461,Accepted-Wait,Tomas,2009/12/02 14:24:35.000,Variant 23,23,Accepted,Low,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-270427461,Accepted-In Progress,Tomas,2011/11/14 15:57:27.000,Variant 23,23,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-345132462,Accepted-In Progress,Tomas,2010/01/14 10:34:54.000,Variant 59,59,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-345132462,Accepted-Wait,Tomas,2010/01/27 10:43:29.000,Variant 59,59,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-345132462,Accepted-Assigned,Tomas,2010/02/03 10:20:05.000,Variant 59,59,Accepted,Medium,Assigned,cn,Org line A2,A2_2,,,PROD753,Sweden
1-345132462,Accepted-Wait,Tomas,2010/02/22 08:33:08.000,Variant 59,59,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-345132462,Accepted-In Progress,Tomas,2011/09/02 00:17:47.000,Variant 59,59,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-351314317,Accepted-In Progress,Ewa,2010/02/03 09:34:32.000,Variant 60,60,Accepted,Medium,In Progress,us,Org line A2,A2_2,,,PROD98,POLAND
1-351314317,Queued-Awaiting Assignment,Ewa,2010/02/03 09:45:18.000,Variant 60,60,Queued,Medium,Awaiting Assignment,us,Org line A2,A2_2,,,PROD98,POLAND
1-351314317,Accepted-In Progress,Ewa,2010/02/03 10:40:51.000,Variant 60,60,Accepted,Medium,In Progress,us,Org line A2,A2_2,,,PROD98,POLAND
1-351314317,Accepted-Assigned,Ewa,2010/02/03 10:40:58.000,Variant 60,60,Accepted,Medium,Assigned,us,Org line A2,A2_2,,,PROD98,POLAND
1-351314317,Accepted-In Progress,Ewa,2011/12/20 22:25:19.000,Variant 60,60,Accepted,Medium,In Progress,us,Org line A2,A2_2,,,PROD98,POLAND
1-351314317,Completed-Closed,Ewa,2012/01/03 13:13:02.000,Variant 60,60,Completed,Medium,Closed,us,Org line A2,A2_2,,,PROD98,POLAND
1-354350908,Accepted-Wait,Tomas,2010/02/16 11:03:41.000,Variant 53,53,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-354350908,Accepted-In Progress,Tomas,2011/09/02 00:16:31.000,Variant 53,53,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-354376900,Accepted-Wait,Tomas,2010/02/16 11:04:37.000,Variant 53,53,Accepted,Medium,Wait,cn,Org line A2,A2_2,,,PROD753,Sweden
1-354376900,Accepted-In Progress,Tomas,2011/09/02 00:16:15.000,Variant 53,53,Accepted,Medium,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-359841262,Accepted-In Progress,Tomas,2010/03/11 14:06:34.000,Variant 61,61,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-359841262,Accepted-In Progress,Tomas,2010/03/11 14:10:10.000,Variant 61,61,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-359841262,Queued-Awaiting Assignment,Tomas,2010/03/11 14:12:19.000,Variant 61,61,Queued,High,Awaiting Assignment,cn,Org line A2,A2_2,,,PROD753,Sweden
1-359841262,Accepted-In Progress,Pawel,2010/03/11 14:12:35.000,Variant 61,61,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,POLAND
1-359841262,Queued-Awaiting Assignment,Tomas,2010/03/11 14:12:46.000,Variant 61,61,Queued,High,Awaiting Assignment,cn,Org line A2,A2_2,,,PROD753,Sweden
1-359841262,Accepted-In Progress,Pawel,2010/03/11 14:13:02.000,Variant 61,61,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,POLAND
1-359841262,Accepted-Assigned,Tomas,2010/07/20 09:25:18.000,Variant 61,61,Accepted,High,Assigned,cn,Org line A2,A2_2,,,PROD753,Sweden
1-359841262,Accepted-In Progress,Tomas,2011/09/05 09:28:42.000,Variant 61,61,Accepted,High,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-360464815,Accepted-In Progress,Panigrahy,2010/03/15 14:40:16.000,Variant 16,16,Accepted,Medium,In Progress,in,Org line A2,D_1,,,PROD611,Sweden
1-360464815,Accepted-Wait,Panigrahy,2010/04/15 16:32:45.000,Variant 16,16,Accepted,Medium,Wait,in,Org line A2,D_1,,,PROD611,Sweden
1-360464815,Accepted-In Progress,Panigrahy,2011/06/09 11:37:15.000,Variant 16,16,Accepted,Medium,In Progress,in,Org line A2,D_1,,,PROD611,Sweden
1-360464815,Completed-Closed,Panigrahy,2012/02/21 14:57:48.000,Variant 16,16,Completed,Medium,Closed,in,Org line A2,D_1,,,PROD611,Sweden
1-363206822,Accepted-In Progress,Pawel,2010/03/26 14:03:21.000,Variant 34,34,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,POLAND
1-363206822,Accepted-In Progress,Pawel,2010/03/26 14:05:35.000,Variant 34,34,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,POLAND
1-363206822,Queued-Awaiting Assignment,Tomas,2010/03/26 14:05:48.000,Variant 34,34,Queued,Low,Awaiting Assignment,cn,Org line A2,A2_2,,,PROD753,Sweden
1-363206822,Accepted-In Progress,Tomas,2011/09/05 09:28:50.000,Variant 34,34,Accepted,Low,In Progress,cn,Org line A2,A2_2,,,PROD753,Sweden
1-366698569,Accepted-In Progress,Jerker,2010/04/13 14:37:07.000,Variant 10,10,Accepted,High,In Progress,se,Org line G4,,,,PROD368,Sweden
1-366698569,Accepted-In Progress,Jerker,2010/04/19 16:59:00.000,Variant 10,10,Accepted,High,In Progress,se,Org line G4,,,,PROD368,Sweden
1-366726662,Accepted-In Progress,Jerker,2010/04/13 14:50:15.000,Variant 10,10,Accepted,Medium,In Progress,se,Org line G4,,,,PROD368,Sweden
