'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'Precedence(Take in charge ticket,  Wait)';'Precedence';' Wait';'Take in charge ticket';1.000;1.000;1.000
'AtMostOne(Assign seriousness)';'AtMostOne';'Assign seriousness';;1.000;1.000;1.000
'Init(Assign seriousness)';'Init';'Assign seriousness';;1.000;1.000;1.000
'AlternateSuccession(Assign seriousness,  Closed)';'AlternateSuccession';'Assign seriousness';' Closed';1.000;1.000;1.000
'NotChainSuccession(Assign seriousness,  Closed)';'NotChainSuccession';'Assign seriousness';' Closed';1.000;1.000;1.000
'AlternateSuccession(Assign seriousness,  Resolve ticket)';'AlternateSuccession';'Assign seriousness';' Resolve ticket';1.000;1.000;1.000
'NotChainSuccession(Assign seriousness,  Resolve ticket)';'NotChainSuccession';'Assign seriousness';' Resolve ticket';1.000;1.000;1.000
'Succession(Assign seriousness,  Take in charge ticket)';'Succession';'Assign seriousness';' Take in charge ticket';1.000;1.000;1.000
'CoExistence(Closed,  Assign seriousness)';'CoExistence';'Closed';' Assign seriousness';1.000;1.000;1.000
'NotSuccession(Closed,  Assign seriousness)';'NotSuccession';'Closed';' Assign seriousness';1.000;1.000;1.000
'NotSuccession(Closed,  Take in charge ticket)';'NotSuccession';'Closed';' Take in charge ticket';1.000;1.000;1.000
'AtMostOne(Resolve ticket)';'AtMostOne';'Resolve ticket';;1.000;1.000;1.000
'CoExistence(Resolve ticket,  Assign seriousness)';'CoExistence';'Resolve ticket';' Assign seriousness';1.000;1.000;1.000
'NotSuccession(Resolve ticket,  Assign seriousness)';'NotSuccession';'Resolve ticket';' Assign seriousness';1.000;1.000;1.000
'ChainResponse(Resolve ticket,  Closed)';'ChainResponse';'Resolve ticket';' Closed';1.000;1.000;1.000
'CoExistence(Resolve ticket,  Take in charge ticket)';'CoExistence';'Resolve ticket';' Take in charge ticket';1.000;1.000;1.000
'NotSuccession(Resolve ticket,  Take in charge ticket)';'NotSuccession';'Resolve ticket';' Take in charge ticket';1.000;1.000;1.000
'Participation(Take in charge ticket)';'Participation';'Take in charge ticket';;1.000;1.000;1.000
'NotSuccession(Take in charge ticket,  Assign seriousness)';'NotSuccession';'Take in charge ticket';' Assign seriousness';1.000;1.000;1.000
'Succession(Take in charge ticket,  Closed)';'Succession';'Take in charge ticket';' Closed';1.000;1.000;1.000
'Succession(Take in charge ticket,  Resolve ticket)';'Succession';'Take in charge ticket';' Resolve ticket';1.000;1.000;1.000
