"'RespondedExistence(Assign seriousness, Insert ticket)'","'NotCoExistence(Assign seriousness, Insert ticket)'","'ChainSuccession(Assign seriousness, Resolve ticket)'","'RespondedExistence(Closed, Insert ticket)'","'NotCoExistence(Closed, Insert ticket)'","'ChainPrecedence(Wait, Create SW anomaly)'","'AlternatePrecedence(Wait, INVALID)'",'AtMostOne(Insert ticket)',"'ChainResponse(Insert ticket, Assign seriousness)'","'NotCoExistence(Insert ticket, Assign seriousness)'","'AlternateResponse(Insert ticket, Closed)'","'AlternateResponse(Insert ticket, Resolve ticket)'","'AlternateResponse(Insert ticket, Take in charge ticket)'","'AlternatePrecedence(Wait, RESOLVED)'","'ChainPrecedence(Wait, Require upgrade)'","'ChainPrecedence(Take in charge ticket, Resolve SW anomaly)'","'NotCoExistence(Resolve ticket, Insert ticket)'","'ChainSuccession(Resolve ticket, Take in charge ticket)'","'RespondedExistence(Take in charge ticket, Insert ticket)'","'NotCoExistence(Take in charge ticket, Insert ticket)'","'AlternatePrecedence(Wait, VERIFIED)'","'ChainPrecedence(Assign seriousness, Wait)'","'NotCoExistence(Wait, Insert ticket)'","'ChainSuccession(Wait, Take in charge ticket)'"
5.634146341,4.531250000,0.000000000,4.807692308,4.541284404,0.000000000,0.000000000,5.000000000,5.000000000,4.531250000,5.000000000,5.000000000,5.000000000,0.000000000,0.000000000,0.000000000,4.572649573,5.172413793,5.000000000,4.560000000,0.000000000,6.600000000,4.500000000,2.696296296
5.588709677,4.534883721,0.000000000,4.807692308,4.541284404,0.000000000,0.000000000,5.000000000,5.000000000,4.534883721,5.000000000,5.000000000,5.000000000,0.000000000,0.000000000,0.000000000,4.572649573,5.172413793,5.000000000,4.560000000,0.000000000,6.600000000,4.500000000,2.696296296
5.588709677,4.534883721,0.000000000,4.807692308,4.541284404,0.000000000,0.000000000,5.000000000,5.000000000,4.534883721,5.000000000,5.000000000,5.000000000,0.000000000,0.000000000,0.000000000,4.572649573,5.172413793,5.000000000,4.560000000,0.000000000,6.600000000,4.500000000,2.696296296
5.634146341,4.531250000,0.000000000,4.854368932,4.537037037,0.000000000,0.000000000,5.000000000,5.000000000,4.531250000,5.000000000,5.000000000,5.000000000,0.000000000,0.000000000,0.000000000,4.568965517,4.347826087,5.042016807,4.556451613,0.000000000,6.600000000,4.500000000,2.716417910
5.634146341,4.531250000,0.000000000,4.901960784,4.532710280,0.000000000,0.000000000,5.000000000,5.000000000,4.531250000,5.000000000,5.000000000,5.000000000,0.000000000,0.000000000,0.000000000,4.568965517,4.347826087,5.042016807,4.556451613,0.000000000,6.600000000,4.500000000,2.716417910
5.680327869,4.527559055,0.000000000,4.901960784,4.532710280,0.000000000,0.000000000,5.000000000,5.000000000,4.527559055,5.000000000,5.000000000,5.000000000,0.000000000,0.000000000,0.000000000,4.568965517,4.347826087,5.042016807,4.556451613,0.000000000,6.600000000,4.500000000,2.716417910
6.545454545,5.338582677,0.000000000,5.882352941,5.333333333,0.000000000,0.000000000,6.000000000,6.000000000,5.338582677,6.000000000,6.000000000,6.000000000,0.000000000,0.000000000,0.000000000,5.384615385,4.347826087,5.882352941,5.376000000,0.000000000,6.600000000,5.428571429,2.716417910
6.491803279,5.343750000,0.000000000,5.882352941,5.333333333,0.000000000,0.000000000,6.000000000,6.000000000,5.343750000,6.000000000,6.000000000,6.000000000,0.000000000,0.000000000,0.000000000,5.389830508,4.329004329,5.882352941,5.376000000,0.000000000,6.600000000,5.428571429,2.716417910
6.491803279,5.343750000,0.000000000,5.882352941,5.333333333,0.000000000,0.000000000,6.000000000,6.000000000,5.343750000,6.000000000,6.000000000,6.000000000,0.000000000,0.000000000,0.000000000,5.394957983,4.310344828,5.882352941,5.376000000,0.000000000,6.600000000,5.428571429,2.716417910
6.491803279,5.343750000,0.000000000,5.882352941,5.333333333,0.000000000,0.000000000,6.000000000,6.000000000,5.343750000,6.000000000,6.000000000,6.000000000,0.000000000,0.000000000,0.000000000,5.394957983,4.310344828,5.882352941,5.376000000,0.000000000,6.600000000,5.428571429,2.716417910
