'AtMostOne(Assign seriousness)','Init(Assign seriousness)',"'AlternateSuccession(Assign seriousness, Closed)'","'NotChainSuccession(Assign seriousness, Closed)'","'AlternateSuccession(Assign seriousness, Resolve ticket)'",'End(Closed)',"'CoExistence(Closed, Assign seriousness)'","'NotSuccession(Closed, Assign seriousness)'","'NotSuccession(Closed, Resolve ticket)'",'AtMostOne(Resolve ticket)','Participation(Resolve ticket)',"'NotSuccession(Resolve ticket, Assign seriousness)'","'ChainSuccession(Resolve ticket, Closed)'"
75.240000000,93.060000000,86.352422907,99.000000000,83.412765957,100.000000000,98.563876652,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,92.592592593
74.250000000,93.060000000,85.973684211,99.000000000,83.059322034,100.000000000,98.565789474,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,92.592592593
74.250000000,93.060000000,85.973684211,99.000000000,83.059322034,100.000000000,98.565789474,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,92.592592593
75.240000000,93.060000000,86.734513274,99.000000000,83.769230769,100.000000000,98.561946903,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.457943925
75.240000000,93.060000000,87.120000000,99.000000000,83.769230769,100.000000000,98.560000000,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
76.230000000,93.060000000,87.508928571,99.000000000,84.128755365,100.000000000,98.558035714,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
77.220000000,92.070000000,87.901345291,99.000000000,84.491379310,100.000000000,98.556053812,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
76.230000000,92.070000000,87.508928571,99.000000000,83.769230769,100.000000000,98.558035714,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.457943925
76.230000000,92.070000000,87.508928571,99.000000000,83.412765957,100.000000000,98.558035714,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,93.023255814
76.230000000,92.070000000,87.508928571,99.000000000,83.412765957,100.000000000,98.558035714,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,93.023255814
76.230000000,92.070000000,87.508928571,99.000000000,83.412765957,100.000000000,98.558035714,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,93.023255814
76.230000000,92.070000000,87.508928571,99.000000000,83.412765957,100.000000000,98.558035714,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,93.023255814
76.230000000,92.070000000,87.508928571,99.000000000,83.412765957,100.000000000,98.558035714,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,93.023255814
76.230000000,92.070000000,87.508928571,99.000000000,83.412765957,100.000000000,98.558035714,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,93.023255814
76.230000000,91.080000000,87.508928571,99.000000000,83.412765957,100.000000000,98.558035714,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,93.023255814
77.220000000,91.080000000,87.901345291,99.000000000,83.769230769,100.000000000,98.556053812,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,93.023255814
78.210000000,91.080000000,88.297297297,99.000000000,84.128755365,100.000000000,98.554054054,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,93.023255814
78.210000000,91.080000000,88.297297297,99.000000000,84.128755365,100.000000000,98.554054054,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,93.023255814
77.220000000,91.080000000,87.901345291,99.000000000,83.769230769,100.000000000,98.556053812,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,93.023255814
77.220000000,91.080000000,87.901345291,99.000000000,83.769230769,100.000000000,98.556053812,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,93.023255814
77.220000000,91.080000000,87.901345291,99.000000000,84.128755365,100.000000000,98.556053812,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.457943925
77.220000000,91.080000000,87.901345291,99.000000000,84.128755365,100.000000000,98.556053812,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.457943925
77.220000000,91.080000000,87.901345291,99.000000000,84.128755365,100.000000000,98.556053812,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.457943925
78.210000000,91.080000000,88.297297297,99.000000000,84.491379310,100.000000000,98.554054054,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.457943925
78.210000000,91.080000000,88.297297297,99.000000000,84.491379310,100.000000000,98.554054054,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.457943925
78.210000000,91.080000000,88.297297297,99.000000000,84.491379310,100.000000000,98.554054054,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.457943925
77.220000000,91.080000000,87.901345291,99.000000000,84.128755365,100.000000000,98.556053812,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.457943925
78.210000000,91.080000000,88.297297297,99.000000000,84.491379310,100.000000000,98.554054054,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.457943925
79.200000000,91.080000000,88.696832579,99.000000000,84.857142857,100.000000000,98.552036199,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.457943925
80.190000000,91.080000000,89.100000000,99.000000000,85.226086957,100.000000000,98.550000000,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.457943925
79.200000000,91.080000000,88.696832579,99.000000000,85.226086957,100.000000000,98.552036199,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
80.190000000,91.080000000,89.100000000,99.000000000,85.598253275,100.000000000,98.550000000,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
80.190000000,91.080000000,89.100000000,99.000000000,85.598253275,100.000000000,98.550000000,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
80.190000000,90.090000000,89.100000000,99.000000000,85.598253275,100.000000000,98.550000000,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
79.200000000,90.090000000,88.696832579,99.000000000,85.226086957,100.000000000,98.552036199,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
79.200000000,90.090000000,88.696832579,99.000000000,85.226086957,100.000000000,98.552036199,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
79.200000000,90.090000000,88.696832579,99.000000000,85.226086957,100.000000000,98.552036199,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
79.200000000,90.090000000,88.696832579,99.000000000,85.226086957,100.000000000,98.552036199,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
79.200000000,90.090000000,88.696832579,99.000000000,85.226086957,100.000000000,98.552036199,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
79.200000000,90.090000000,88.696832579,99.000000000,85.598253275,100.000000000,98.552036199,99.000000000,100.000000000,92.000000000,100.000000000,99.000000000,94.339622642
79.200000000,90.090000000,88.696832579,99.000000000,85.598253275,100.000000000,98.552036199,99.000000000,100.000000000,92.000000000,100.000000000,99.000000000,94.339622642
79.200000000,90.090000000,88.696832579,99.000000000,85.973684211,100.000000000,98.552036199,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,94.786729858
79.200000000,90.090000000,88.696832579,99.000000000,85.973684211,100.000000000,98.552036199,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,94.786729858
79.200000000,89.100000000,89.100000000,99.000000000,85.973684211,100.000000000,98.550000000,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,88.110000000,89.100000000,99.000000000,85.973684211,100.000000000,98.550000000,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,88.110000000,89.100000000,99.000000000,85.973684211,100.000000000,98.550000000,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,88.110000000,89.100000000,99.000000000,85.973684211,100.000000000,98.550000000,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,88.110000000,89.100000000,99.000000000,85.973684211,100.000000000,98.550000000,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,87.120000000,89.100000000,99.000000000,85.973684211,100.000000000,98.550000000,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,87.120000000,89.100000000,99.000000000,85.973684211,100.000000000,98.550000000,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,87.120000000,88.297297297,99.000000000,85.226086957,100.000000000,98.554054054,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,87.120000000,88.297297297,99.000000000,85.226086957,100.000000000,98.554054054,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,87.120000000,88.297297297,99.000000000,85.226086957,100.000000000,98.554054054,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,86.130000000,88.297297297,99.000000000,85.226086957,100.000000000,98.554054054,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,85.140000000,88.297297297,99.000000000,85.226086957,100.000000000,98.554054054,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,85.140000000,88.297297297,99.000000000,85.226086957,100.000000000,98.554054054,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,85.140000000,88.297297297,99.000000000,85.226086957,100.000000000,98.554054054,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,85.140000000,88.297297297,99.000000000,85.226086957,100.000000000,98.554054054,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,85.140000000,88.297297297,99.000000000,85.226086957,100.000000000,98.554054054,99.000000000,100.000000000,93.000000000,100.000000000,99.000000000,95.238095238
79.200000000,85.140000000,88.297297297,99.000000000,84.857142857,100.000000000,98.554054054,99.000000000,100.000000000,92.000000000,100.000000000,99.000000000,94.786729858
79.200000000,85.140000000,88.297297297,99.000000000,84.128755365,100.000000000,98.554054054,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
79.200000000,85.140000000,88.297297297,99.000000000,84.128755365,100.000000000,98.554054054,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
80.190000000,85.140000000,88.696832579,99.000000000,84.491379310,100.000000000,98.552036199,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.896713615
80.190000000,84.150000000,88.696832579,99.000000000,83.769230769,100.000000000,98.552036199,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.023255814
80.190000000,84.150000000,88.696832579,99.000000000,83.769230769,100.000000000,98.552036199,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.023255814
81.180000000,83.160000000,89.100000000,99.000000000,84.128755365,100.000000000,98.550000000,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.023255814
82.170000000,83.160000000,89.506849315,99.000000000,84.491379310,100.000000000,98.547945205,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.023255814
83.160000000,82.170000000,89.917431193,99.000000000,84.857142857,100.000000000,98.545871560,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.023255814
83.160000000,82.170000000,89.917431193,99.000000000,84.857142857,100.000000000,98.545871560,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,93.023255814
83.160000000,81.180000000,89.506849315,99.000000000,84.857142857,100.000000000,98.547945205,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,92.592592593
83.160000000,81.180000000,89.506849315,99.000000000,84.857142857,100.000000000,98.547945205,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,92.592592593
83.160000000,81.180000000,89.506849315,99.000000000,84.857142857,100.000000000,98.547945205,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,92.592592593
83.160000000,81.180000000,89.506849315,99.000000000,84.491379310,100.000000000,98.547945205,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,92.165898618
83.160000000,81.180000000,89.506849315,99.000000000,84.491379310,100.000000000,98.547945205,99.000000000,100.000000000,89.000000000,100.000000000,99.000000000,92.165898618
83.160000000,81.180000000,89.506849315,99.000000000,84.857142857,100.000000000,98.547945205,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,92.592592593
82.170000000,81.180000000,89.100000000,99.000000000,84.491379310,100.000000000,98.550000000,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,92.592592593
82.170000000,81.180000000,89.100000000,99.000000000,84.491379310,100.000000000,98.550000000,99.000000000,100.000000000,90.000000000,100.000000000,99.000000000,92.592592593
82.170000000,81.180000000,89.100000000,99.000000000,84.857142857,100.000000000,98.550000000,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.023255814
82.170000000,80.190000000,89.100000000,99.000000000,84.857142857,100.000000000,98.550000000,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.023255814
81.180000000,81.180000000,88.696832579,99.000000000,84.491379310,100.000000000,98.552036199,99.000000000,100.000000000,91.000000000,100.000000000,99.000000000,93.023255814
82.000000000,83.000000000,90.090090090,100.000000000,86.580086580,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.896713615
82.000000000,83.000000000,90.090090090,100.000000000,86.580086580,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.896713615
83.000000000,84.000000000,90.497737557,100.000000000,86.956521739,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.896713615
83.000000000,85.000000000,90.497737557,100.000000000,86.956521739,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.896713615
83.000000000,84.000000000,90.497737557,100.000000000,86.956521739,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.896713615
84.000000000,84.000000000,90.909090909,100.000000000,87.336244541,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.896713615
84.000000000,84.000000000,90.909090909,100.000000000,87.336244541,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.896713615
85.000000000,84.000000000,91.324200913,100.000000000,87.336244541,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.457943925
85.000000000,84.000000000,91.324200913,100.000000000,87.336244541,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.457943925
85.000000000,84.000000000,91.324200913,100.000000000,87.336244541,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.457943925
85.000000000,84.000000000,91.324200913,100.000000000,87.336244541,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.457943925
85.000000000,85.000000000,91.324200913,100.000000000,87.336244541,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.457943925
85.000000000,85.000000000,91.324200913,100.000000000,87.336244541,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.457943925
85.000000000,85.000000000,91.324200913,100.000000000,87.336244541,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.457943925
85.000000000,85.000000000,91.324200913,100.000000000,87.336244541,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.457943925
85.000000000,85.000000000,91.324200913,100.000000000,87.336244541,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.457943925
86.000000000,85.000000000,91.743119266,100.000000000,87.719298246,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.457943925
86.000000000,85.000000000,91.743119266,100.000000000,87.719298246,100.000000000,100.000000000,100.000000000,100.000000000,92.000000000,100.000000000,100.000000000,93.457943925
86.000000000,85.000000000,91.743119266,100.000000000,88.495575221,100.000000000,100.000000000,100.000000000,100.000000000,93.000000000,100.000000000,100.000000000,94.339622642
86.000000000,85.000000000,90.331797235,99.000000000,88.495575221,98.010000000,98.543778802,99.000000000,99.000000000,93.000000000,100.000000000,100.000000000,92.900473934
87.000000000,85.000000000,90.750000000,99.000000000,88.495575221,98.010000000,98.541666667,99.000000000,99.000000000,92.000000000,100.000000000,100.000000000,92.462264151
88.000000000,85.000000000,91.598130841,99.000000000,88.888888889,98.010000000,98.537383178,99.000000000,99.000000000,92.000000000,100.000000000,100.000000000,92.900473934
88.000000000,85.000000000,91.598130841,99.000000000,88.888888889,98.010000000,98.537383178,99.000000000,99.000000000,92.000000000,100.000000000,100.000000000,92.900473934
88.000000000,85.000000000,91.598130841,99.000000000,88.888888889,98.010000000,98.537383178,99.000000000,99.000000000,92.000000000,100.000000000,100.000000000,92.900473934
88.000000000,85.000000000,91.598130841,99.000000000,88.888888889,98.010000000,98.537383178,99.000000000,99.000000000,92.000000000,100.000000000,100.000000000,92.900473934
88.000000000,85.000000000,91.598130841,99.000000000,88.888888889,98.010000000,98.537383178,99.000000000,99.000000000,92.000000000,100.000000000,100.000000000,92.900473934
88.000000000,86.000000000,91.598130841,99.000000000,88.888888889,98.010000000,98.537383178,99.000000000,99.000000000,92.000000000,100.000000000,100.000000000,92.900473934
89.000000000,86.000000000,92.028169014,99.000000000,89.686098655,98.010000000,98.535211268,99.000000000,99.000000000,93.000000000,100.000000000,100.000000000,93.342857143
