"'NotChainSuccession(Assign seriousness, Resolve ticket)'","'Succession(Assign seriousness, Take in charge ticket)'","'CoExistence(Closed, Take in charge ticket)'","'NotSuccession(Closed, Take in charge ticket)'","'AlternatePrecedence(Take in charge ticket, Closed)'","'CoExistence(Resolve ticket, Take in charge ticket)'","'NotSuccession(Resolve ticket, Take in charge ticket)'","'AlternatePrecedence(Take in charge ticket, Resolve ticket)'",'Participation(Take in charge ticket)',"'CoExistence(Take in charge ticket, Assign seriousness)'","'NotSuccession(Take in charge ticket, Assign seriousness)'","'Succession(Take in charge ticket, Closed)'","'NotChainSuccession(Take in charge ticket, Closed)'","'Succession(Take in charge ticket, Resolve ticket)'","'Precedence(Take in charge ticket, Wait)'"
99.000000000,98.592592593,100.000000000,100.000000000,96.153846154,100.000000000,93.965517241,94.642857143,100.000000000,98.592592593,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.594262295,100.000000000,100.000000000,96.153846154,100.000000000,93.965517241,94.642857143,100.000000000,98.594262295,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.594262295,100.000000000,100.000000000,96.153846154,100.000000000,93.965517241,94.642857143,100.000000000,98.594262295,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.590909091,100.000000000,100.000000000,97.087378641,100.000000000,94.782608696,94.594594595,100.000000000,98.590909091,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.590909091,100.000000000,100.000000000,98.039215686,100.000000000,94.782608696,94.594594595,100.000000000,98.590909091,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.589211618,100.000000000,100.000000000,98.039215686,100.000000000,94.782608696,94.594594595,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.587500000,100.000000000,100.000000000,98.039215686,100.000000000,94.782608696,94.594594595,100.000000000,98.587500000,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.589211618,100.000000000,100.000000000,98.039215686,100.000000000,94.805194805,93.750000000,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.589211618,100.000000000,100.000000000,98.039215686,100.000000000,94.827586207,92.920353982,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.589211618,100.000000000,100.000000000,98.039215686,100.000000000,94.827586207,92.920353982,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.589211618,100.000000000,100.000000000,98.039215686,100.000000000,94.827586207,92.920353982,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.589211618,100.000000000,100.000000000,98.039215686,100.000000000,94.827586207,92.920353982,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.589211618,100.000000000,100.000000000,98.039215686,100.000000000,94.827586207,92.920353982,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.589211618,100.000000000,100.000000000,98.039215686,100.000000000,94.827586207,92.920353982,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.589211618,100.000000000,100.000000000,98.039215686,100.000000000,94.827586207,92.920353982,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.587500000,100.000000000,100.000000000,98.039215686,100.000000000,94.827586207,92.920353982,100.000000000,98.587500000,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.587500000,100.000000000,100.000000000,98.039215686,100.000000000,94.849785408,92.920353982,100.000000000,98.587500000,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.587500000,100.000000000,100.000000000,98.039215686,100.000000000,94.849785408,92.920353982,100.000000000,98.587500000,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.589211618,100.000000000,100.000000000,98.039215686,100.000000000,94.849785408,92.920353982,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.587500000,100.000000000,100.000000000,98.039215686,100.000000000,94.827586207,92.920353982,100.000000000,98.587500000,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.585774059,100.000000000,100.000000000,98.039215686,100.000000000,95.652173913,92.857142857,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.585774059,100.000000000,100.000000000,98.039215686,100.000000000,95.652173913,92.857142857,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.585774059,100.000000000,100.000000000,98.039215686,100.000000000,95.652173913,92.857142857,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.585774059,100.000000000,100.000000000,98.039215686,100.000000000,95.670995671,92.857142857,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,94.117647059
99.000000000,98.585774059,100.000000000,100.000000000,98.039215686,100.000000000,95.670995671,92.857142857,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,94.117647059
99.000000000,98.589211618,100.000000000,100.000000000,98.039215686,100.000000000,95.708154506,92.857142857,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,94.736842105
99.000000000,98.590909091,100.000000000,100.000000000,98.039215686,100.000000000,95.708154506,92.857142857,100.000000000,98.590909091,99.000000000,100.000000000,100.000000000,100.000000000,94.736842105
99.000000000,98.589211618,100.000000000,100.000000000,98.039215686,100.000000000,95.708154506,92.857142857,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,94.736842105
99.000000000,98.587500000,100.000000000,100.000000000,98.039215686,100.000000000,95.708154506,92.857142857,100.000000000,98.587500000,99.000000000,100.000000000,100.000000000,100.000000000,94.736842105
99.000000000,98.584033613,100.000000000,100.000000000,98.039215686,100.000000000,95.689655172,92.857142857,100.000000000,98.584033613,99.000000000,100.000000000,100.000000000,100.000000000,94.444444444
99.000000000,98.584033613,100.000000000,100.000000000,98.039215686,100.000000000,95.652173913,93.693693694,100.000000000,98.584033613,99.000000000,100.000000000,100.000000000,100.000000000,94.117647059
99.000000000,98.582278481,100.000000000,100.000000000,98.039215686,100.000000000,95.652173913,93.693693694,100.000000000,98.582278481,99.000000000,100.000000000,100.000000000,100.000000000,94.117647059
99.000000000,98.582278481,100.000000000,100.000000000,98.039215686,100.000000000,95.652173913,93.693693694,100.000000000,98.582278481,99.000000000,100.000000000,100.000000000,100.000000000,94.117647059
99.000000000,98.582278481,100.000000000,100.000000000,98.039215686,100.000000000,95.652173913,93.693693694,100.000000000,98.582278481,99.000000000,100.000000000,100.000000000,100.000000000,94.117647059
99.000000000,98.584033613,100.000000000,100.000000000,98.039215686,100.000000000,95.652173913,93.693693694,100.000000000,98.584033613,99.000000000,100.000000000,100.000000000,100.000000000,94.117647059
99.000000000,98.584033613,100.000000000,100.000000000,98.039215686,100.000000000,95.652173913,93.693693694,100.000000000,98.584033613,99.000000000,100.000000000,100.000000000,100.000000000,94.117647059
99.000000000,98.582278481,100.000000000,100.000000000,98.039215686,100.000000000,95.633187773,93.693693694,100.000000000,98.582278481,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.580508475,100.000000000,100.000000000,98.039215686,100.000000000,95.614035088,93.693693694,100.000000000,98.580508475,99.000000000,100.000000000,100.000000000,100.000000000,92.857142857
99.000000000,98.580508475,100.000000000,100.000000000,98.039215686,100.000000000,95.614035088,93.693693694,100.000000000,98.580508475,99.000000000,100.000000000,100.000000000,100.000000000,92.857142857
99.000000000,98.580508475,100.000000000,100.000000000,98.039215686,100.000000000,96.475770925,93.636363636,100.000000000,98.580508475,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.580508475,100.000000000,100.000000000,98.039215686,100.000000000,96.475770925,93.636363636,100.000000000,98.580508475,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.582278481,100.000000000,100.000000000,98.039215686,100.000000000,96.475770925,94.495412844,100.000000000,98.582278481,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.582278481,100.000000000,100.000000000,98.039215686,100.000000000,96.475770925,94.495412844,100.000000000,98.582278481,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.580508475,100.000000000,100.000000000,99.009900990,100.000000000,96.460176991,94.495412844,100.000000000,98.580508475,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.580508475,100.000000000,100.000000000,99.009900990,100.000000000,96.460176991,94.495412844,100.000000000,98.580508475,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.578723404,100.000000000,100.000000000,99.009900990,100.000000000,96.444444444,94.495412844,100.000000000,98.578723404,99.000000000,100.000000000,100.000000000,100.000000000,92.857142857
99.000000000,98.578723404,100.000000000,100.000000000,99.009900990,100.000000000,96.444444444,94.495412844,100.000000000,98.578723404,99.000000000,100.000000000,100.000000000,100.000000000,92.857142857
99.000000000,98.580508475,100.000000000,100.000000000,99.009900990,100.000000000,96.460176991,94.495412844,100.000000000,98.580508475,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.580508475,100.000000000,100.000000000,99.009900990,100.000000000,96.460176991,94.495412844,100.000000000,98.580508475,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.580508475,100.000000000,100.000000000,99.009900990,100.000000000,96.460176991,94.495412844,100.000000000,98.580508475,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.584033613,100.000000000,100.000000000,99.009900990,100.000000000,96.460176991,94.495412844,100.000000000,98.584033613,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.584033613,100.000000000,100.000000000,99.009900990,100.000000000,96.460176991,94.495412844,100.000000000,98.584033613,99.000000000,100.000000000,100.000000000,100.000000000,93.333333333
99.000000000,98.585774059,100.000000000,100.000000000,99.009900990,100.000000000,96.475770925,94.495412844,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.585774059,100.000000000,100.000000000,99.009900990,100.000000000,96.475770925,94.495412844,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.585774059,100.000000000,100.000000000,99.009900990,100.000000000,96.475770925,94.495412844,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,93.750000000
99.000000000,98.585774059,100.000000000,100.000000000,99.009900990,100.000000000,96.475770925,94.495412844,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,88.235294118
99.000000000,98.585774059,100.000000000,100.000000000,99.009900990,100.000000000,96.475770925,94.495412844,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,88.235294118
99.000000000,98.585774059,100.000000000,100.000000000,99.009900990,100.000000000,96.475770925,94.495412844,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,88.235294118
99.000000000,98.587500000,100.000000000,100.000000000,99.009900990,100.000000000,96.491228070,94.495412844,100.000000000,98.587500000,99.000000000,100.000000000,100.000000000,100.000000000,88.888888889
99.000000000,98.589211618,100.000000000,100.000000000,99.009900990,100.000000000,95.652173913,94.545454545,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,88.888888889
99.000000000,98.589211618,100.000000000,100.000000000,99.009900990,100.000000000,95.689655172,92.857142857,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,94.117647059
99.000000000,98.590909091,100.000000000,100.000000000,99.009900990,100.000000000,95.708154506,92.857142857,100.000000000,98.590909091,99.000000000,100.000000000,100.000000000,100.000000000,94.444444444
99.000000000,98.589211618,100.000000000,100.000000000,99.009900990,100.000000000,95.708154506,92.857142857,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,94.444444444
99.000000000,98.590909091,100.000000000,100.000000000,99.009900990,100.000000000,94.915254237,92.105263158,100.000000000,98.590909091,99.000000000,100.000000000,100.000000000,100.000000000,94.444444444
99.000000000,98.590909091,100.000000000,100.000000000,99.009900990,100.000000000,94.915254237,92.105263158,100.000000000,98.590909091,99.000000000,100.000000000,100.000000000,100.000000000,94.444444444
99.000000000,98.589211618,100.000000000,100.000000000,99.009900990,100.000000000,94.915254237,92.105263158,100.000000000,98.589211618,99.000000000,100.000000000,100.000000000,100.000000000,94.444444444
99.000000000,98.585774059,100.000000000,100.000000000,99.009900990,100.000000000,94.893617021,92.105263158,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,94.117647059
99.000000000,98.585774059,100.000000000,100.000000000,99.009900990,100.000000000,94.915254237,92.105263158,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,94.444444444
99.000000000,98.585774059,100.000000000,100.000000000,99.009900990,100.000000000,94.915254237,92.105263158,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,94.444444444
99.000000000,98.584033613,100.000000000,100.000000000,98.039215686,100.000000000,94.893617021,92.105263158,100.000000000,98.584033613,99.000000000,100.000000000,100.000000000,100.000000000,94.117647059
99.000000000,98.584033613,100.000000000,100.000000000,98.039215686,100.000000000,94.893617021,92.105263158,100.000000000,98.584033613,99.000000000,100.000000000,100.000000000,100.000000000,88.888888889
99.000000000,98.584033613,100.000000000,100.000000000,98.039215686,100.000000000,94.893617021,92.105263158,100.000000000,98.584033613,99.000000000,100.000000000,100.000000000,100.000000000,88.888888889
99.000000000,98.585774059,100.000000000,100.000000000,98.039215686,100.000000000,94.092827004,92.173913043,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,88.888888889
99.000000000,98.585774059,100.000000000,100.000000000,98.039215686,100.000000000,94.092827004,92.173913043,100.000000000,98.585774059,99.000000000,100.000000000,100.000000000,100.000000000,88.888888889
99.000000000,98.584033613,100.000000000,100.000000000,98.039215686,100.000000000,95.319148936,92.105263158,100.000000000,98.584033613,99.000000000,100.000000000,100.000000000,100.000000000,88.888888889
