"'AlternateResponse(Assign seriousness, Wait)'","'NotChainSuccession(Assign seriousness, Wait)'","'RespondedExistence(Closed, Wait)'","'NotSuccession(Closed, Wait)'","'RespondedExistence(Resolve ticket, Wait)'","'NotSuccession(Resolve ticket, Wait)'","'ChainResponse(Take in charge ticket, Wait)'",'AtMostOne(Wait)',"'RespondedExistence(Wait, Assign seriousness)'","'NotSuccession(Wait, Assign seriousness)'","'AlternateResponse(Wait, Closed)'","'NotChainSuccession(Wait, Closed)'","'AlternateResponse(Wait, Resolve ticket)'","'RespondedExistence(Wait, Take in charge ticket)'","'NotSuccession(Wait, Take in charge ticket)'"
10.463414634,12.811594203,13.461538462,13.000000000,15.178571429,12.590551181,10.833333333,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,10.014814815
10.379032258,12.812949640,13.461538462,13.000000000,15.178571429,12.590551181,10.833333333,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,10.014814815
10.379032258,12.812949640,13.461538462,13.000000000,15.178571429,12.590551181,10.833333333,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,10.014814815
10.463414634,12.811594203,13.592233010,13.000000000,15.315315315,12.587301587,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
10.463414634,12.811594203,13.725490196,13.000000000,15.315315315,12.587301587,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
10.549180328,12.810218978,13.725490196,13.000000000,15.315315315,12.587301587,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
10.636363636,12.808823529,13.725490196,13.000000000,15.315315315,12.587301587,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
10.549180328,12.810218978,13.725490196,13.000000000,15.178571429,12.590551181,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
10.549180328,12.810218978,13.725490196,13.000000000,15.044247788,12.593750000,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
10.549180328,12.810218978,13.725490196,13.000000000,15.044247788,12.593750000,10.924369748,12.740000000,13.000000000,13.000000000,11.266666667,13.000000000,12.133333333,13.000000000,9.992537313
