"'AlternateSuccession(Assign seriousness, Wait)'","'CoExistence(Closed, Wait)'","'CoExistence(Resolve ticket, Wait)'","'ChainSuccession(Take in charge ticket, Wait)'",'Participation(Wait)',"'CoExistence(Wait, Assign seriousness)'","'AlternateSuccession(Wait, Closed)'","'ChainSuccession(Wait, Resolve ticket)'","'CoExistence(Wait, Take in charge ticket)'"
2.449275362,3.168067227,3.275590551,2.503703704,1.690000000,3.014492754,2.840336134,0.000000000,4.237037037
2.431654676,3.168067227,3.275590551,2.503703704,1.690000000,2.992805755,2.840336134,0.000000000,4.237037037
2.431654676,3.168067227,3.275590551,2.503703704,1.690000000,2.992805755,2.840336134,0.000000000,4.237037037
2.449275362,3.194915254,3.301587302,2.522388060,1.690000000,3.014492754,2.864406780,0.000000000,4.268656716
2.449275362,3.222222222,3.301587302,2.522388060,1.690000000,3.014492754,2.888888889,0.000000000,4.268656716
2.467153285,3.222222222,3.301587302,2.522388060,1.690000000,3.036496350,2.888888889,0.000000000,4.268656716
2.485294118,3.222222222,3.301587302,2.522388060,1.690000000,3.058823529,2.888888889,0.000000000,4.268656716
2.467153285,3.222222222,3.275590551,2.522388060,1.690000000,3.036496350,2.888888889,0.000000000,4.268656716
2.467153285,3.222222222,3.250000000,2.522388060,1.690000000,3.036496350,2.888888889,0.000000000,4.268656716
2.467153285,3.222222222,3.250000000,2.522388060,1.690000000,3.036496350,2.888888889,0.000000000,4.268656716
2.467153285,3.222222222,3.250000000,2.522388060,1.690000000,3.036496350,2.888888889,0.000000000,4.268656716
2.467153285,3.222222222,3.250000000,2.522388060,1.690000000,3.036496350,2.888888889,0.000000000,4.268656716
2.467153285,3.222222222,3.250000000,2.522388060,1.690000000,3.036496350,2.888888889,0.000000000,4.268656716
2.467153285,3.222222222,3.250000000,2.522388060,1.690000000,3.036496350,2.888888889,0.000000000,4.268656716
2.467153285,3.222222222,3.250000000,2.522388060,1.690000000,3.036496350,2.888888889,0.000000000,4.268656716
2.485294118,3.222222222,3.250000000,2.522388060,1.690000000,3.058823529,2.888888889,0.000000000,4.268656716
2.882352941,3.677966102,3.689922481,2.882352941,1.960000000,3.500000000,3.322033898,0.000000000,4.838235294
2.882352941,3.677966102,3.689922481,2.882352941,1.960000000,3.500000000,3.322033898,0.000000000,4.838235294
2.861313869,3.677966102,3.689922481,2.882352941,1.960000000,3.474452555,3.322033898,0.000000000,4.838235294
2.861313869,3.677966102,3.689922481,2.903703704,1.960000000,3.474452555,3.322033898,0.000000000,4.874074074
2.861313869,3.677966102,3.718750000,2.925373134,1.960000000,3.474452555,3.322033898,0.000000000,4.910447761
2.861313869,3.677966102,3.718750000,2.925373134,1.960000000,3.474452555,3.322033898,0.000000000,4.910447761
2.861313869,3.677966102,3.718750000,2.925373134,1.960000000,3.474452555,3.322033898,0.000000000,4.910447761
3.284671533,4.159663866,4.186046512,3.308823529,2.250000000,3.941605839,3.781512605,0.000000000,5.514705882
3.284671533,4.159663866,4.186046512,3.308823529,2.250000000,3.941605839,3.781512605,0.000000000,5.514705882
3.683453237,4.760330579,4.763358779,3.885714286,2.560000000,4.489208633,4.231404959,0.000000000,6.285714286
3.657142857,4.760330579,4.763358779,3.885714286,2.560000000,4.457142857,4.231404959,0.000000000,6.285714286
3.683453237,4.760330579,4.763358779,3.885714286,2.560000000,4.489208633,4.231404959,0.000000000,6.285714286
3.710144928,4.760330579,4.763358779,3.885714286,2.560000000,4.521739130,4.231404959,0.000000000,6.285714286
3.308823529,4.250000000,4.269230769,3.478260870,2.250000000,3.970588235,3.750000000,0.000000000,5.652173913
2.882352941,3.764705882,3.718750000,3.088235294,1.960000000,3.500000000,3.294117647,0.000000000,5.044117647
