"'NotChainSuccession(Assign seriousness, Take in charge ticket)'","'NotCoExistence(Assign seriousness, Wait)'","'NotCoExistence(Closed, Wait)'","'NotCoExistence(Resolve ticket, Wait)'","'NotCoExistence(Take in charge ticket, Wait)'","'NotCoExistence(Wait, Assign seriousness)'","'NotCoExistence(Wait, Closed)'","'NotCoExistence(Wait, Resolve ticket)'","'ChainResponse(Wait, Take in charge ticket)'","'NotCoExistence(Wait, Take in charge ticket)'"
19.148148148,9.985507246,9.831932773,9.724409449,8.762962963,9.985507246,9.831932773,9.724409449,12.133333333,8.762962963
19.475409836,10.007194245,9.831932773,9.724409449,8.762962963,10.007194245,9.831932773,9.724409449,12.133333333,8.762962963
19.475409836,10.007194245,9.831932773,9.724409449,8.762962963,10.007194245,9.831932773,9.724409449,12.133333333,8.762962963
18.818181818,9.985507246,9.805084746,9.698412698,8.731343284,9.985507246,9.805084746,9.698412698,12.133333333,8.731343284
18.818181818,9.985507246,9.777777778,9.698412698,8.731343284,9.985507246,9.777777778,9.698412698,12.133333333,8.731343284
18.485477178,9.963503650,9.777777778,9.698412698,8.731343284,9.963503650,9.777777778,9.698412698,12.133333333,8.731343284
18.150000000,9.941176471,9.777777778,9.698412698,8.731343284,9.941176471,9.777777778,9.698412698,12.133333333,8.731343284
18.485477178,9.963503650,9.777777778,9.724409449,8.731343284,9.963503650,9.777777778,9.724409449,12.133333333,8.731343284
18.485477178,9.963503650,9.777777778,9.750000000,8.731343284,9.963503650,9.777777778,9.750000000,12.133333333,8.731343284
18.485477178,9.963503650,9.777777778,9.750000000,8.731343284,9.963503650,9.777777778,9.750000000,12.133333333,8.731343284
18.485477178,9.963503650,9.777777778,9.750000000,8.731343284,9.963503650,9.777777778,9.750000000,12.133333333,8.731343284
18.485477178,9.963503650,9.777777778,9.750000000,8.731343284,9.963503650,9.777777778,9.750000000,12.133333333,8.731343284
18.485477178,9.963503650,9.777777778,9.750000000,8.731343284,9.963503650,9.777777778,9.750000000,12.133333333,8.731343284
18.485477178,9.963503650,9.777777778,9.750000000,8.731343284,9.963503650,9.777777778,9.750000000,12.133333333,8.731343284
18.485477178,9.963503650,9.777777778,9.750000000,8.731343284,9.963503650,9.777777778,9.750000000,12.133333333,8.731343284
18.150000000,9.941176471,9.777777778,9.750000000,8.731343284,9.941176471,9.777777778,9.750000000,12.133333333,8.731343284
18.150000000,10.500000000,10.322033898,10.310077519,9.161764706,10.500000000,10.322033898,10.310077519,13.125000000,9.161764706
18.150000000,10.500000000,10.322033898,10.310077519,9.161764706,10.500000000,10.322033898,10.310077519,13.125000000,9.161764706
18.485477178,10.525547445,10.322033898,10.310077519,9.161764706,10.525547445,10.322033898,10.310077519,13.125000000,9.161764706
18.150000000,10.525547445,10.322033898,10.310077519,9.125925926,10.525547445,10.322033898,10.310077519,13.125000000,9.125925926
17.811715481,10.525547445,10.322033898,10.281250000,9.089552239,10.525547445,10.322033898,10.281250000,13.125000000,9.089552239
17.811715481,10.525547445,10.322033898,10.281250000,9.089552239,10.525547445,10.322033898,10.281250000,13.125000000,9.089552239
17.811715481,10.525547445,10.322033898,10.281250000,9.089552239,10.525547445,10.322033898,10.281250000,13.125000000,9.089552239
17.811715481,11.058394161,10.840336134,10.813953488,9.485294118,11.058394161,10.840336134,10.813953488,14.117647059,9.485294118
17.811715481,11.058394161,10.840336134,10.813953488,9.485294118,11.058394161,10.840336134,10.813953488,14.117647059,9.485294118
18.485477178,11.510791367,11.239669421,11.236641221,9.714285714,11.510791367,11.239669421,11.236641221,15.157894737,9.714285714
18.818181818,11.542857143,11.239669421,11.236641221,9.714285714,11.542857143,11.239669421,11.236641221,15.157894737,9.714285714
18.485477178,11.510791367,11.239669421,11.236641221,9.714285714,11.510791367,11.239669421,11.236641221,15.157894737,9.714285714
18.150000000,11.478260870,11.239669421,11.236641221,9.714285714,11.478260870,11.239669421,11.236641221,15.157894737,9.714285714
17.470588235,11.029411765,10.750000000,10.730769231,9.347826087,11.029411765,10.750000000,10.730769231,14.166666667,9.347826087
17.470588235,10.500000000,10.235294118,10.281250000,8.955882353,10.500000000,10.235294118,10.281250000,13.176470588,8.955882353
17.126582278,10.474074074,10.235294118,10.281250000,8.955882353,10.474074074,10.235294118,10.281250000,13.176470588,8.955882353
17.126582278,10.474074074,10.235294118,10.281250000,8.955882353,10.474074074,10.235294118,10.281250000,13.176470588,8.955882353
17.126582278,10.474074074,10.235294118,10.281250000,8.955882353,10.474074074,10.235294118,10.281250000,13.176470588,8.955882353
17.470588235,10.500000000,10.235294118,10.281250000,8.955882353,10.500000000,10.235294118,10.281250000,13.176470588,8.955882353
17.470588235,10.500000000,10.235294118,10.281250000,8.955882353,10.500000000,10.235294118,10.281250000,13.176470588,8.955882353
17.126582278,9.918518519,9.694915254,9.724409449,8.537313433,9.918518519,9.694915254,9.724409449,12.187500000,8.537313433
16.779661017,9.383458647,9.206896552,9.216000000,8.152671756,9.383458647,9.206896552,9.216000000,12.000000000,8.152671756
16.779661017,9.383458647,9.206896552,9.216000000,8.152671756,9.383458647,9.206896552,9.216000000,12.000000000,8.152671756
16.779661017,9.992537313,9.777777778,9.776000000,8.568181818,9.992537313,9.777777778,9.776000000,13.000000000,8.568181818
16.779661017,9.992537313,9.777777778,9.776000000,8.568181818,9.992537313,9.777777778,9.776000000,13.000000000,8.568181818
17.126582278,10.577777778,10.322033898,10.304000000,8.985074627,10.577777778,10.322033898,10.304000000,14.000000000,8.985074627
17.126582278,10.577777778,10.322033898,10.304000000,8.985074627,10.577777778,10.322033898,10.304000000,14.000000000,8.985074627
16.779661017,9.992537313,9.862068966,9.750000000,8.568181818,9.992537313,9.862068966,9.750000000,13.000000000,8.568181818
16.779661017,9.992537313,9.862068966,9.750000000,8.568181818,9.992537313,9.862068966,9.750000000,13.000000000,8.568181818
16.429787234,9.383458647,9.286956522,9.170731707,8.123076923,9.383458647,9.286956522,9.170731707,12.000000000,8.123076923
