"'ChainSuccession(Assign seriousness, Take in charge ticket)'",'AtMostOne(Take in charge ticket)',"'AlternateSuccession(Take in charge ticket, Closed)'","'AlternateSuccession(Take in charge ticket, Resolve ticket)'","'AlternatePrecedence(Assign seriousness, Wait)'","'ChainPrecedence(Take in charge ticket, Wait)'"
79.851851852,84.000000000,89.285714286,91.379310345,85.800000000,86.666666667
79.524590164,84.000000000,89.285714286,91.379310345,85.800000000,86.666666667
79.524590164,84.000000000,89.285714286,91.379310345,85.800000000,86.666666667
80.181818182,85.000000000,90.090090090,91.304347826,85.800000000,86.666666667
80.181818182,85.000000000,90.497737557,91.304347826,85.800000000,86.666666667
80.514522822,85.000000000,90.497737557,91.304347826,85.800000000,86.666666667
80.850000000,85.000000000,90.497737557,91.304347826,85.800000000,86.666666667
80.514522822,85.000000000,90.497737557,90.909090909,85.800000000,86.666666667
80.514522822,85.000000000,90.497737557,90.517241379,85.800000000,86.666666667
80.514522822,85.000000000,90.497737557,90.517241379,85.800000000,86.666666667
80.514522822,85.000000000,90.497737557,90.517241379,85.800000000,86.666666667
80.514522822,85.000000000,90.497737557,90.517241379,85.800000000,86.666666667
80.514522822,85.000000000,90.497737557,90.517241379,85.800000000,86.666666667
80.514522822,85.000000000,90.497737557,90.517241379,85.800000000,86.666666667
80.514522822,85.000000000,90.497737557,90.517241379,85.800000000,86.666666667
80.850000000,85.000000000,90.497737557,90.517241379,85.800000000,86.666666667
80.850000000,84.000000000,90.090090090,90.128755365,86.625000000,87.500000000
80.850000000,84.000000000,90.090090090,90.128755365,86.625000000,87.500000000
80.514522822,84.000000000,90.090090090,90.128755365,86.625000000,87.500000000
80.850000000,85.000000000,90.497737557,90.517241379,86.625000000,87.500000000
81.188284519,86.000000000,90.909090909,90.434782609,86.625000000,87.500000000
81.188284519,86.000000000,90.909090909,90.434782609,86.625000000,87.500000000
81.188284519,86.000000000,90.909090909,90.434782609,86.625000000,87.500000000
81.188284519,85.000000000,90.497737557,90.043290043,87.352941176,88.235294118
81.188284519,85.000000000,90.497737557,90.043290043,87.352941176,88.235294118
80.514522822,84.000000000,89.686098655,89.270386266,83.368421053,89.473684211
80.181818182,84.000000000,89.686098655,89.270386266,83.368421053,89.473684211
80.514522822,84.000000000,89.686098655,89.270386266,83.368421053,89.473684211
80.850000000,84.000000000,89.686098655,89.270386266,83.368421053,89.473684211
81.529411765,85.000000000,90.090090090,89.655172414,82.500000000,88.888888889
81.529411765,86.000000000,90.497737557,90.434782609,81.529411765,88.235294118
81.873417722,86.000000000,90.497737557,90.434782609,81.529411765,88.235294118
81.873417722,86.000000000,90.497737557,90.434782609,81.529411765,88.235294118
81.873417722,86.000000000,90.497737557,90.434782609,81.529411765,88.235294118
81.529411765,86.000000000,90.497737557,90.434782609,81.529411765,88.235294118
81.529411765,86.000000000,90.497737557,90.434782609,81.529411765,88.235294118
81.873417722,87.000000000,90.909090909,90.829694323,80.437500000,87.500000000
82.220338983,88.000000000,91.324200913,91.228070175,84.857142857,92.857142857
82.220338983,88.000000000,91.324200913,91.228070175,84.857142857,92.857142857
82.220338983,88.000000000,91.324200913,90.748898678,85.800000000,93.333333333
82.220338983,88.000000000,91.324200913,90.748898678,85.800000000,93.333333333
81.873417722,87.000000000,90.909090909,90.748898678,86.625000000,93.750000000
81.873417722,87.000000000,90.909090909,90.748898678,86.625000000,93.750000000
82.220338983,88.000000000,91.743119266,91.150442478,85.800000000,93.333333333
82.220338983,88.000000000,91.743119266,91.150442478,85.800000000,93.333333333
82.570212766,89.000000000,92.165898618,91.555555556,84.857142857,92.857142857
82.570212766,89.000000000,92.165898618,91.555555556,84.857142857,92.857142857
82.220338983,88.000000000,91.743119266,91.150442478,85.800000000,93.333333333
82.220338983,88.000000000,91.743119266,91.150442478,85.800000000,93.333333333
82.220338983,88.000000000,91.743119266,91.150442478,85.800000000,93.333333333
81.529411765,88.000000000,91.743119266,91.150442478,85.800000000,93.333333333
81.529411765,88.000000000,91.743119266,91.150442478,85.800000000,93.333333333
81.188284519,87.000000000,91.324200913,90.748898678,86.625000000,93.750000000
81.188284519,87.000000000,91.324200913,90.748898678,86.625000000,93.750000000
81.188284519,87.000000000,91.324200913,90.748898678,86.625000000,93.750000000
80.359832636,87.000000000,91.324200913,90.748898678,87.352941176,88.235294118
80.359832636,87.000000000,91.324200913,90.748898678,87.352941176,88.235294118
80.359832636,87.000000000,91.324200913,90.748898678,87.352941176,88.235294118
80.025000000,86.000000000,90.909090909,90.350877193,88.000000000,88.888888889
79.692946058,85.000000000,90.497737557,90.434782609,88.000000000,88.888888889
80.514522822,85.000000000,90.497737557,89.655172414,87.352941176,94.117647059
80.181818182,84.000000000,90.090090090,89.270386266,88.000000000,94.444444444
80.514522822,84.000000000,90.090090090,89.270386266,88.000000000,94.444444444
80.181818182,83.000000000,89.686098655,88.983050847,88.000000000,94.444444444
80.181818182,83.000000000,89.686098655,88.983050847,88.000000000,94.444444444
80.514522822,83.000000000,89.686098655,88.983050847,88.000000000,94.444444444
81.188284519,84.000000000,90.090090090,89.361702128,87.352941176,94.117647059
81.188284519,83.000000000,89.686098655,88.983050847,88.000000000,94.444444444
81.188284519,83.000000000,89.686098655,88.983050847,88.000000000,94.444444444
81.529411765,84.000000000,89.686098655,89.361702128,87.352941176,94.117647059
80.697478992,84.000000000,89.686098655,89.361702128,88.000000000,88.888888889
80.697478992,84.000000000,89.686098655,89.361702128,88.000000000,88.888888889
80.359832636,83.000000000,89.285714286,89.451476793,88.000000000,88.888888889
80.359832636,83.000000000,89.285714286,89.451476793,88.000000000,88.888888889
80.697478992,83.000000000,89.686098655,89.361702128,88.000000000,88.888888889
80.359832636,83.000000000,89.686098655,89.361702128,88.000000000,88.888888889
80.697478992,84.000000000,90.090090090,89.743589744,87.352941176,88.235294118
80.697478992,84.000000000,90.090090090,90.128755365,87.352941176,88.235294118
80.697478992,84.000000000,90.090090090,90.128755365,87.352941176,88.235294118
80.025000000,83.000000000,89.686098655,89.743589744,88.000000000,88.888888889
81.327800830,83.000000000,89.686098655,90.517241379,88.888888889,88.888888889
81.327800830,83.000000000,89.686098655,90.517241379,88.888888889,88.888888889
81.666666667,83.000000000,89.686098655,90.517241379,88.888888889,88.888888889
81.666666667,83.000000000,89.686098655,90.517241379,88.888888889,88.888888889
81.666666667,83.000000000,89.686098655,90.517241379,88.888888889,88.888888889
81.666666667,82.000000000,89.285714286,90.128755365,89.473684211,89.473684211
81.666666667,82.000000000,89.285714286,90.128755365,89.473684211,89.473684211
81.327800830,81.000000000,88.495575221,90.677966102,89.473684211,89.473684211
81.327800830,81.000000000,88.495575221,90.677966102,89.473684211,89.473684211
81.327800830,81.000000000,88.495575221,90.677966102,89.473684211,89.473684211
81.327800830,81.000000000,88.495575221,90.677966102,89.473684211,89.473684211
81.327800830,81.000000000,88.495575221,90.677966102,89.473684211,89.473684211
81.327800830,81.000000000,88.495575221,90.677966102,89.473684211,89.473684211
81.327800830,81.000000000,88.495575221,90.677966102,89.473684211,89.473684211
81.666666667,82.000000000,88.888888889,91.063829787,88.888888889,88.888888889
81.327800830,81.000000000,88.495575221,90.677966102,89.473684211,89.473684211
81.327800830,80.000000000,88.105726872,90.295358650,90.000000000,90.000000000
81.327800830,80.000000000,88.105726872,90.295358650,90.000000000,90.000000000
82.700421941,81.000000000,89.686098655,90.909090909,94.444444444,88.888888889
82.700421941,81.000000000,88.297297297,90.909090909,94.444444444,88.888888889
82.700421941,80.000000000,87.901345291,90.987124464,94.444444444,88.888888889
83.050847458,80.000000000,88.297297297,90.987124464,94.444444444,88.888888889
83.050847458,80.000000000,88.297297297,90.987124464,94.444444444,88.888888889
83.050847458,80.000000000,88.297297297,90.987124464,94.444444444,88.888888889
83.050847458,80.000000000,88.297297297,90.987124464,94.444444444,88.888888889
83.050847458,80.000000000,88.297297297,90.987124464,94.444444444,88.888888889
83.050847458,80.000000000,88.297297297,90.987124464,94.444444444,88.888888889
83.050847458,79.000000000,87.901345291,90.987124464,94.736842105,89.473684211
83.404255319,79.000000000,87.901345291,90.987124464,94.736842105,89.473684211
83.404255319,79.000000000,87.901345291,90.987124464,94.736842105,89.473684211
83.050847458,79.000000000,87.901345291,90.987124464,94.736842105,89.473684211
83.050847458,79.000000000,87.901345291,90.987124464,94.736842105,89.473684211
