"'AlternatePrecedence(Assign seriousness, Create SW anomaly)'","'ChainPrecedence(Take in charge ticket, Create SW anomaly)'"
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
84.857142857,100.000000000
82.500000000,100.000000000
79.200000000,100.000000000
74.250000000,100.000000000
74.250000000,100.000000000
74.250000000,100.000000000
74.250000000,100.000000000
74.250000000,100.000000000
74.250000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
99.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
83.333333333,100.000000000
83.333333333,100.000000000
83.333333333,100.000000000
83.333333333,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
80.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
75.000000000,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
50.000000000,100.000000000
50.000000000,100.000000000
50.000000000,100.000000000
50.000000000,100.000000000
50.000000000,100.000000000
50.000000000,100.000000000
50.000000000,100.000000000
50.000000000,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
66.666666667,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
100.000000000,100.000000000
