'Constraint';'Template';'Activation';'Target';'Support';'Confidence level';'Interest factor'
'ChainPrecedence(Assign seriousness,  Create SW anomaly)';'ChainPrecedence';' Create SW anomaly';'Assign seriousness';1.000;1.000;1.000
'ChainPrecedence(Assign seriousness,  Require upgrade)';'ChainPrecedence';' Require upgrade';'Assign seriousness';1.000;1.000;1.000
'AlternateResponse(Assign seriousness,  Require upgrade)';'AlternateResponse';'Assign seriousness';' Require upgrade';1.000;1.000;1.000
'NotCoExistence(Assign seriousness,  Require upgrade)';'NotCoExistence';'Assign seriousness';' Require upgrade';1.000;1.000;1.000
'RespondedExistence(Closed,  Require upgrade)';'RespondedExistence';'Closed';' Require upgrade';1.000;1.000;1.000
'AtMostOne(Require upgrade)';'AtMostOne';'Require upgrade';;1.000;1.000;1.000
'RespondedExistence(Require upgrade,  Assign seriousness)';'RespondedExistence';'Require upgrade';' Assign seriousness';1.000;1.000;1.000
'NotCoExistence(Require upgrade,  Assign seriousness)';'NotCoExistence';'Require upgrade';' Assign seriousness';1.000;1.000;1.000
'AlternateResponse(Require upgrade,  Closed)';'AlternateResponse';'Require upgrade';' Closed';1.000;1.000;1.000
'ChainResponse(Require upgrade,  Resolve ticket)';'ChainResponse';'Require upgrade';' Resolve ticket';1.000;1.000;1.000
'RespondedExistence(Require upgrade,  Take in charge ticket)';'RespondedExistence';'Require upgrade';' Take in charge ticket';1.000;1.000;1.000
'RespondedExistence(Resolve ticket,  Require upgrade)';'RespondedExistence';'Resolve ticket';' Require upgrade';1.000;1.000;1.000
'ChainResponse(Take in charge ticket,  Require upgrade)';'ChainResponse';'Take in charge ticket';' Require upgrade';1.000;1.000;1.000
